name,repository,pkg_mng
autojump,https://github.com/wting/autojump,homebrew
autorestic,https://github.com/cupcakearmy/autorestic,homebrew
avahi,https://github.com/lathiat/avahi,homebrew
avra,https://github.com/Ro5bert/avra,homebrew
awf,https://github.com/valr/awf,homebrew
awk,https://github.com/onetrueawk/awk,homebrew
aws-apigateway-importer,https://github.com/amazon-archives/aws-apigateway-importer,homebrew
aws-console,https://github.com/aws-cloudformation/rain,homebrew
aws-es-proxy,https://github.com/abutaha/aws-es-proxy,homebrew
aws-iam-authenticator,https://github.com/kubernetes-sigs/aws-iam-authenticator,homebrew
aws-keychain,https://github.com/pda/aws-keychain,homebrew
aws-okta,https://github.com/segmentio/aws-okta,homebrew
aws-rotate-key,https://github.com/stefansundin/aws-rotate-key,homebrew
aws-sdk-cpp,https://github.com/aws/aws-sdk-cpp,homebrew
aws-vault,https://github.com/99designs/aws-vault,homebrew
awscli,https://github.com/aws/aws-cli,homebrew
awsweeper,https://github.com/jckuester/awsweeper,homebrew
axel,https://github.com/axel-download-accelerator/axel,homebrew
azcopy,https://github.com/Azure/azure-storage-azcopy,homebrew
azure-cli,https://github.com/Azure/azure-cli,homebrew
azure-storage-cpp,https://github.com/Azure/azure-storage-cpp,homebrew
b2sum,https://github.com/BLAKE2/BLAKE2,homebrew
b3sum,https://github.com/BLAKE3-team/BLAKE3,homebrew
baidupcs-go,https://github.com/qjfoidnh/BaiduPCS-Go,homebrew
bam,https://github.com/matricks/bam,homebrew
bamtools,https://github.com/pezmaster31/bamtools,homebrew
bandwhich,https://github.com/imsnif/bandwhich,homebrew
bareos-client,https://github.com/bareos/bareos,homebrew
baresip,https://github.com/baresip/baresip,homebrew
bartib,https://github.com/nikolassv/bartib,homebrew
bartycrouch,https://github.com/FlineDev/BartyCrouch,homebrew
bash-completion@2,https://github.com/scop/bash-completion,homebrew
bash-git-prompt,https://github.com/magicmonty/bash-git-prompt,homebrew
bash-preexec,https://github.com/rcaloras/bash-preexec,homebrew
bash-snippets,https://github.com/alexanderepstein/Bash-Snippets,homebrew
bash_unit,https://github.com/pgrange/bash_unit,homebrew
basis_universal,https://github.com/BinomialLLC/basis_universal,homebrew
bastet,https://github.com/fph/bastet,homebrew
bat,https://github.com/sharkdp/bat,homebrew
bat-extras,https://github.com/eth-p/bat-extras,homebrew
bats,https://github.com/sstephenson/bats,homebrew
bats-core,https://github.com/bats-core/bats-core,homebrew
bazel,https://github.com/bazelbuild/bazel,homebrew
bazelisk,https://github.com/bazelbuild/bazelisk,homebrew
bcal,https://github.com/jarun/bcal,homebrew
bcftools,https://github.com/samtools/bcftools,homebrew
