name,repository,pkg_mng
waypipe,https://gitlab.freedesktop.org/mstoeckl/waypipe,chromebrew
spirv_headers,https://github.com/KhronosGroup/SPIRV-Headers,chromebrew
gpart,https://github.com/baruch/gpart,chromebrew
julia,https://github.com/baruch/gpart,chromebrew
syncthing,https://github.com/syncthing/syncthing,chromebrew
py3_fasteners,https://github.com/harlowja/fasteners,chromebrew
libsigcplusplus,https://github.com/harlowja/fasteners,chromebrew
py3_pipdeptree,https://github.com/naiquevin/pipdeptree,chromebrew
ipfs,https://github.com/ipfs/go-ipfs,chromebrew
github_cli,https://github.com/cli/cli,chromebrew
yelp_tools,https://github.com/cli/cli,chromebrew
xe,https://github.com/chneukirchen/xe,chromebrew
kakoune,https://github.com/mawww/kakoune,chromebrew
fzf,https://github.com/junegunn/fzf,chromebrew
py3_imagesize,https://github.com/shibukawa/imagesize_py,chromebrew
gnome_shell,https://gitlab.gnome.org/GNOME/gnome-shell,chromebrew
filecmd,https://gitlab.gnome.org/GNOME/gnome-shell,chromebrew
libffi,https://github.com/libffi/libffi,chromebrew
py3_greenlet,https://github.com/python-greenlet/greenlet,chromebrew
enchant,https://github.com/python-greenlet/greenlet,chromebrew
amtk,https://github.com/GNOME/amtk,chromebrew
mypaint_brushes,https://github.com/mypaint/mypaint-brushes,chromebrew
py3_agate_sql,https://github.com/wireservice/agate-sql,chromebrew
py3_smartypants,https://github.com/leohemsted/smartypants.py,chromebrew
cgroupfs_mount,https://github.com/tianon/cgroupfs-mount,chromebrew
dosfstools,https://github.com/dosfstools/dosfstools,chromebrew
py3_certifi,https://github.com/certifi/python-certifi,chromebrew
berry,https://github.com/JLErvin/berry,chromebrew
libnl3,https://github.com/thom311/libnl,chromebrew
jsonc,https://github.com/json-c/json-c,chromebrew
py3_colorama,https://github.com/tartley/colorama,chromebrew
htop,https://github.com/htop-dev/htop,chromebrew
musl_obstack,https://github.com/void-linux/musl-obstack,chromebrew
six,https://github.com/void-linux/musl-obstack,chromebrew
suitesparse,https://github.com/DrTimothyAldenDavis/SuiteSparse,chromebrew
py3_abimap,https://github.com/ansasaki/abimap,chromebrew
mywanip,https://gist.github.com/DennisLfromGA/ab40940d37be84ae3a88,chromebrew
get_iplayer,https://github.com/get-iplayer/get_iplayer,chromebrew
superlu,https://github.com/xiaoyeli/superlu,chromebrew
camp,https://github.com/xiaoyeli/superlu,chromebrew
mdp,https://github.com/visit1985/mdp,chromebrew
w3m,https://github.com/tats/w3m,chromebrew
py3_appdirs,https://github.com/ActiveState/appdirs,chromebrew
musl_wolfssl,https://github.com/wolfSSL/wolfssl,chromebrew
nethogs,https://github.com/raboof/nethogs,chromebrew
mujs,https://github.com/raboof/nethogs,chromebrew
bitpocket,https://github.com/sickill/bitpocket,chromebrew
phpsysinfo,https://github.com/phpsysinfo/phpsysinfo,chromebrew
musl_perl,https://github.com/phpsysinfo/phpsysinfo,chromebrew
charm,https://github.com/phpsysinfo/phpsysinfo,chromebrew
openblas,https://github.com/xianyi/OpenBLAS,chromebrew
py3_terminaltables,https://github.com/Robpol86/terminaltables,chromebrew
woff2,https://github.com/google/woff2,chromebrew
musl_cyrus_sasl,https://github.com/cyrusimap/cyrus-sasl,chromebrew
